id	cufflinks_ath_buds_rep1
AT1G07410	12.7085
AT1G07420	47.2216
AT1G07430	9.84388
AT1G07440	46.2052
AT1G07450	7.0805
AT1G07460	0
AT1G07470	10.2738
AT1G07473	2.08814
AT1G07476	0.0406497
AT1G07480	8.72716
AT1G07485	1.19266
AT1G07490	12.0376
AT1G07500	0
AT1G07510	19.6892
AT1G07520	9.09752
AT1G07530	28.8884
AT1G07540	5.42218
AT1G07550	0
AT1G07560	0
AT1G07570	24.4161
AT1G07580	0
AT1G07590	56.863
AT1G07600	4072.05
AT1G07610	7.83914
AT1G07615	9.92839
AT1G07620	0.199734
AT1G07630	11.6072
AT1G07640	26.5505
AT1G07645	2.62385
AT1G07650	29.8517
AT1G07660	50.8142
AT1G07670	29.3434
AT1G07680	0.147965
AT1G07690	0
AT1G07700	25.3861
AT1G07702	628.298
AT1G07705	16.4865
AT1G07710	1.55131
AT1G07720	23.2897
AT1G07725	0.328063
AT1G07728	13.6522
AT1G07730	0.490226
AT1G07740	3.60005
AT1G07745	6.87841
AT1G07747	0
AT1G07750	108.056
AT1G07760	0
AT1G07770	572.601
AT1G07780	2.86179
AT1G07790	155.118
AT1G07795	3.85337
AT1G07800	0.0479741
AT1G07810	21.6176
AT1G07820	224.239
AT1G07830	41.4366
AT1G07840	13.3239
AT1G07850	5.55633
AT1G07860	2.96967
AT1G07870	14.9114
AT1G07880	6.63062
AT1G07885	14.2426
AT1G07890	442.808
AT1G07900	0.989321
AT1G07901	51.5097
AT1G07910	6.64461
AT1G07920	87.5074
AT1G07930	142.11
AT1G07940	77.1628
AT1G07950	24.9069
AT1G07960	40.4522
AT1G07970	15.1389
AT1G07980	20.5152
AT1G07985	5.52472
AT1G07990	24.6729
AT1G08000	13.1649
AT1G08005	4.61371
AT1G08010	40.1793
AT1G08030	18.5083
AT1G08032	0
AT1G08035	1.57449
AT1G08040	27.5185
AT1G08050	3.11027
AT1G08060	10.446
AT1G08065	3.8398
AT1G08070	2.51953
AT1G08080	0.900687
AT1G08090	0.479017
AT1G08100	0
AT1G08105	0
AT1G08110	84.0495
AT1G08115	0
AT1G08120	0
AT1G08125	16.1711
AT1G08130	20.0952
AT1G08135	0.810661
AT1G08140	7.79992
AT1G08150	6.48527
AT1G08160	22.4483
AT1G08165	2.92296
AT1G08170	1.11667
AT1G08180	9.35719
AT1G08190	36.3726
AT1G08200	161.742
AT1G08210	21.0623
AT1G08220	7.9344
AT1G08230	15.9174
